Season,Date,home_abbr,away_abbr,home_pts,away_pts,home_win,opponent_abbr,ELO_t,opp_pre_elo_t,O_mean,O_var,O_p90,SOS_t,elo_avg_pre,O_t_list_json
2001,2001-05-31,IND,HOU,78.0,82.0,0,HOU,1500.0,1488.5707376518324,,,,,1500.0,[]
2003,2003-05-29,CHA,IND,66.0,57.0,1,CHA,1500.0,1488.5707376518324,1511.4292623481676,0.0,1511.4292623481676,1.007619508232112,1499.9999999999998,[1511.429]
2003,2003-05-31,IND,WAS,71.0,60.0,1,WAS,1491.1056167599518,1511.4292623481676,,,,,1499.9999999999998,[]
2004,2004-05-21,IND,NYL,69.0,67.0,1,NYL,1500.0,1500.0,1494.125060054977,34.62009140346729,1498.8321672874733,0.9960833733699846,1500.0,"[1488.241,1500.009]"
2004,2004-05-23,IND,WAS,67.0,68.0,0,WAS,1508.5707376518324,1488.2411760143566,1500.0089440955974,0.0,1500.0089440955974,1.0000059627303983,1499.9999999999998,[1500.009]
2004,2004-05-28,CHA,IND,63.0,41.0,1,CHA,1496.5736927498972,1500.0089440955974,,,,,1500.0,[]
2005,2005-05-22,IND,CHA,68.0,58.0,1,CHA,1500.0,1488.5707376518324,1495.8688371652363,103.02482340737119,1505.940705258381,0.9972458914434911,1499.9999999999998,"[1488.571,1488.813,1510.223]"
2005,2005-05-24,IND,PHO,83.0,76.0,1,PHO,1508.250120109954,1488.5707376518324,1499.5178869219385,114.59054273039418,1508.081644703862,0.9996785912812923,1500.0,"[1488.813,1510.223]"
2005,2005-05-26,NYL,IND,59.0,67.0,0,NYL,1516.27104922932,1488.8131896945345,1510.2225841493428,0.0,1510.2225841493428,1.006815056099562,1499.9999999999998,[1510.223]
2005,2005-05-29,HOU,IND,86.0,78.0,1,HOU,1526.918955298223,1510.2225841493428,,,,,1499.9999999999998,[]
2006,2006-05-20,IND,DET,67.0,60.0,1,DET,1500.0,1500.0,1501.7453562001067,140.2924470669022,1512.2021494668058,1.0011635708000712,1500.0,"[1511.429,1499.92,1483.099,1512.533]"
2006,2006-05-23,SAS,IND,53.0,62.0,0,SAS,1508.5707376518324,1511.4292623481676,1498.5173874840864,145.37746796277915,1510.0106098879924,0.9990115916560576,1500.0,"[1499.92,1483.099,1512.533]"
2006,2006-05-26,CHI,IND,60.0,75.0,0,CHI,1520.0804977734979,1499.9195022265021,1497.8163301128784,216.5917576309939,1509.5899754652676,0.9985442200752522,1500.0,"[1483.099,1512.533]"
2006,2006-05-30,IND,NYL,91.0,70.0,1,NYL,1530.9372279841941,1483.099273422392,1512.533386803365,0.0,1512.533386803365,1.0083555912022433,1500.0,[1512.533]
2006,2006-05-31,HOU,IND,73.0,60.0,1,HOU,1538.1933727960472,1512.533386803365,,,,,1499.9999999999998,[]
2007,2007-05-19,IND,MIN,83.0,64.0,1,MIN,1500.0,1500.0,1486.1040046047506,629.1471418198252,1506.1702491653225,0.9907360030698337,1500.0,"[1511.187,1461.021]"
2007,2007-05-24,IND,LAS,83.0,70.0,1,LAS,1508.5707376518324,1511.1868103054655,1461.0211989040354,0.0,1461.0211989040354,0.9740141326026902,1500.0,[1461.021]
2007,2007-05-29,MIN,IND,75.0,89.0,0,MIN,1517.2153118412662,1461.0211989040354,,,,,1500.0,[]
2008,2008-05-17,IND,WAS,64.0,53.0,1,WAS,1500.0,1500.0,1519.1860301135912,130.91451439825613,1527.5163558297895,1.0127906867423941,1500.0,"[1499.758,1527.534,1521.977,1527.475]"
2008,2008-05-21,DET,IND,76.0,71.0,1,DET,1508.5707376518324,1499.757547957298,1525.6621908323552,6.790055243274886,1527.5221968689602,1.0171081272215703,1499.9999999999998,"[1527.534,1521.977,1527.475]"
2008,2008-05-27,CON,IND,46.0,75.0,0,CON,1499.7506673489183,1527.5338789473014,1524.7263467748824,7.557670565189584,1526.9256441994526,1.016484231183255,1500.0,"[1521.977,1527.475]"
2008,2008-05-29,IND,LAS,82.0,78.0,1,LAS,1511.9527795157583,1521.9772249941695,1527.4754685555952,0.0,1527.4754685555952,1.0183169790370634,1500.0,[1527.475]
2008,2008-05-31,IND,DET,65.0,74.0,0,DET,1520.8072411993282,1527.4754685555952,,,,,1500.0,[]
2009,2009-06-06,ATL,IND,87.0,86.0,1,ATL,1500.0,1500.0,1507.5879226343015,1558.2662052996213,1573.6713624313068,1.0050586150895344,1500.0,"[1508.571,1519.362,1491.502,1489.609,1478.439,1485.483,1474.97,1507.348,1487.554,1498.552,1501.314,1493.377,1507.733,1506.146,1483.147,1511.324,1513.785,1514.456,1499.705,1578.137,1478.333,1485.319,1482.608,1429.006,1512.443,1461.604,1437.126,1564.464,1509.264,1485.119,1454.004,1483.489,1469.772,1478.342,1488.756,1544.572,1553.006,1563.818,1568.077,1575.07,1581.701,1590.696,1579.181]"
2009,2009-06-07,IND,MIN,74.0,96.0,0,MIN,1491.4292623481676,1508.5707376518324,1507.5645222767412,1595.344235816719,1574.3706533769287,1.0050430148511609,1499.9999999999998,"[1519.362,1491.502,1489.609,1478.439,1485.483,1474.97,1507.348,1487.554,1498.552,1501.314,1493.377,1507.733,1506.146,1483.147,1511.324,1513.785,1514.456,1499.705,1578.137,1478.333,1485.319,1482.608,1429.006,1512.443,1461.604,1437.126,1564.464,1509.264,1485.119,1454.004,1483.489,1469.772,1478.342,1488.756,1544.572,1553.006,1563.818,1568.077,1575.07,1581.701,1590.696,1579.181]"
2009,2009-06-09,IND,SEA,73.0,66.0,1,SEA,1480.4863276135525,1519.3624336896225,1507.2767683398417,1630.777373052189,1575.0699443225506,1.004851178893228,1499.9999999999998,"[1491.502,1489.609,1478.439,1485.483,1474.97,1507.348,1487.554,1498.552,1501.314,1493.377,1507.733,1506.146,1483.147,1511.324,1513.785,1514.456,1499.705,1578.137,1478.333,1485.319,1482.608,1429.006,1512.443,1461.604,1437.126,1564.464,1509.264,1485.119,1454.004,1483.489,1469.772,1478.342,1488.756,1544.572,1553.006,1563.818,1568.077,1575.07,1581.701,1590.696,1579.181]"
2009,2009-06-12,IND,LAS,73.0,61.0,1,LAS,1490.1662655669243,1491.5016083206326,1507.6711473403218,1665.1698807416826,1575.376631013355,1.0051140982268811,1500.0,"[1489.609,1478.439,1485.483,1474.97,1507.348,1487.554,1498.552,1501.314,1493.377,1507.733,1506.146,1483.147,1511.324,1513.785,1514.456,1499.705,1578.137,1478.333,1485.319,1482.608,1429.006,1512.443,1461.604,1437.126,1564.464,1509.264,1485.119,1454.004,1483.489,1469.772,1478.342,1488.756,1544.572,1553.006,1563.818,1568.077,1575.07,1581.701,1590.696,1579.181]"
2009,2009-06-19,DET,IND,54.0,66.0,0,DET,1498.7746728487484,1489.6088065524532,1508.134284283601,1699.286711221263,1575.6833177041597,1.0054228561890672,1500.0,"[1478.439,1485.483,1474.97,1507.348,1487.554,1498.552,1501.314,1493.377,1507.733,1506.146,1483.147,1511.324,1513.785,1514.456,1499.705,1578.137,1478.333,1485.319,1482.608,1429.006,1512.443,1461.604,1437.126,1564.464,1509.264,1485.119,1454.004,1483.489,1469.772,1478.342,1488.756,1544.572,1553.006,1563.818,1568.077,1575.07,1581.701,1590.696,1579.181]"
2009,2009-06-21,IND,DET,82.0,70.0,1,DET,1509.9445918252609,1478.4388875759407,1508.915742091697,1720.1884066416376,1575.990004394964,1.0059438280611313,1500.0,"[1485.483,1474.97,1507.348,1487.554,1498.552,1501.314,1493.377,1507.733,1506.146,1483.147,1511.324,1513.785,1514.456,1499.705,1578.137,1478.333,1485.319,1482.608,1429.006,1512.443,1461.604,1437.126,1564.464,1509.264,1485.119,1454.004,1483.489,1469.772,1478.342,1488.756,1544.572,1553.006,1563.818,1568.077,1575.07,1581.701,1590.696,1579.181]"
2009,2009-06-26,NYL,IND,81.0,82.0,0,NYL,1517.640777186784,1485.4829574209227,1509.5490605963128,1751.4384767245592,1576.2966910857685,1.0063660403975419,1500.0,"[1474.97,1507.348,1487.554,1498.552,1501.314,1493.377,1507.733,1506.146,1483.147,1511.324,1513.785,1514.456,1499.705,1578.137,1478.333,1485.319,1482.608,1429.006,1512.443,1461.604,1437.126,1564.464,1509.264,1485.119,1454.004,1483.489,1469.772,1478.342,1488.756,1544.572,1553.006,1563.818,1568.077,1575.07,1581.701,1590.696,1579.181]"
