Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40
Monique Akoa Makani,PHO,G,41,881,12.2,.556,.523,.464,.155,3.2,5.9,20.5,1.9,0.3,16.3,17.3,107,106,1.2,1.0,2.2,.099
Julie Allemand,LAS,G,34,963,11.5,.547,.528,.635,.119,1.6,7.9,25.7,2.4,0.1,24.1,10.2,110,111,1.2,0.4,1.5,.064
Lindsay Allen,CON,G,31,450,6.6,.493,.423,.277,.354,2.3,4.2,21.5,1.2,1.3,29.2,10.7,93,116,-0.2,-0.2,-0.3,-0.029
Rebecca Allen,CHI,F-G,44,821,7.9,.444,.429,.550,.129,2.3,8.1,11.5,1.5,2.6,13.3,16.0,90,112,-0.6,0.2,-0.5,-0.022
Laeticia Amihere,GSV,F,29,385,18.3,.550,.469,.184,.553,10.8,19.0,13.3,2.4,3.6,18.4,21.0,105,96,0.5,1.0,1.5,.156
Yvonne Anderson,MIN,G,1,12,1.2,.000,.000,.333,.000,0.0,5.0,20.8,8.7,0.0,0.0,11.5,44,88,-0.1,0.0,0.0,-0.034
Ariel Atkins,CHI,G,34,970,16.0,.551,.503,.326,.255,2.8,6.9,23.5,2.8,2.3,17.1,22.7,103,110,1.1,0.5,1.6,.065
Shakira Austin,WAS,F-C,38,874,18.4,.506,.467,.036,.355,8.0,17.0,16.3,2.4,4.7,16.2,29.9,93,100,-0.8,1.8,1.1,.049
Marième Badiane,MIN,C,3,11,-18.2,.000,.000,.333,.000,11.1,5.4,0.0,9.5,0.0,40.0,20.9,15,89,-0.1,0.0,-0.1,-0.367
Rachel Banham,CHI,G,44,1081,10.6,.544,.509,.713,.175,0.7,4.0,18.9,1.3,1.0,16.3,18.1,103,116,0.9,-0.3,0.5,.020
Sarah Ashlee Barker,LAS,G,34,481,4.1,.458,.423,.587,.231,2.5,8.2,9.4,1.2,0.8,24.4,14.1,81,113,-0.8,0.0,-0.8,-0.064
Kierstan Bell,LVA,F,35,427,10.3,.455,.435,.669,.097,5.4,8.5,8.7,1.7,2.3,9.6,19.0,95,106,-0.1,0.5,0.3,.031
Monique Billings,GSV,F,26,474,16.9,.545,.510,.238,.351,9.3,14.3,5.8,1.8,4.7,10.8,19.2,108,99,0.7,1.0,1.7,.145
Aliyah Boston,IND,C-F,44,1327,22.8,.580,.544,.058,.292,9.6,16.5,21.3,2.0,2.8,12.5,21.9,118,101,4.6,2.5,7.1,.215
Crystal Bradford,LVA,F,4,24,7.0,.333,.333,.333,.000,9.7,12.2,6.3,4.3,0.0,14.3,13.3,80,101,0.0,0.0,0.0,.007
Cameron Brink,LAS,F,19,244,15.3,.526,.488,.415,.256,13.0,20.1,6.0,2.1,9.8,21.5,21.3,94,102,-0.1,0.4,0.3,.055
Jaelyn Brown,CON,G-F,10,131,6.3,.488,.486,.486,.054,3.5,5.5,1.3,2.0,1.5,11.7,14.9,90,114,-0.1,0.0,-0.1,-0.027
Kalani Brown,PHO,C,29,370,18.8,.664,.630,.083,.365,10.9,18.1,7.4,1.0,4.6,17.1,16.3,119,100,1.0,0.7,1.7,.187
Lexie Brown,SEA,G,24,227,8.5,.487,.458,.771,.208,1.0,4.5,14.5,2.0,0.4,10.3,11.8,103,106,0.1,0.3,0.4,.069
Paige Bueckers,DAL,G,36,1199,22.1,.567,.513,.217,.280,2.3,6.8,30.2,2.4,1.4,10.6,24.7,115,112,4.0,0.4,4.4,.147
Kennedy Burke,NYL,G-F,36,779,13.9,.602,.573,.509,.248,3.3,6.3,9.5,1.8,1.9,12.3,16.4,110,106,1.2,0.9,2.1,.109
Rae Burrell,LAS,G-F,28,515,13.0,.531,.494,.376,.264,4.3,7.6,10.8,1.6,1.1,11.2,19.4,104,113,0.5,0.0,0.6,.045
Veronica Burton,GSV,G,44,1292,19.3,.561,.466,.460,.491,4.6,8.7,37.6,2.1,2.2,16.7,20.3,117,102,4.2,2.2,6.4,.198
Maya Caldwell,ATL,G,41,760,12.7,.542,.526,.564,.103,5.2,9.9,15.2,2.6,0.8,16.4,14.7,107,100,0.8,1.5,2.4,.125
Jordin Canada,ATL,G,28,783,16.5,.498,.441,.315,.352,1.2,6.9,33.2,3.2,1.0,16.4,22.1,104,99,0.9,1.7,2.6,.135
Emma Cannon,LAS,F,21,213,13.6,.636,.619,.571,.365,6.3,10.7,6.2,2.4,0.4,18.0,18.7,107,110,0.3,0.1,0.4,.076
Kamilla Cardoso,CHI,C,40,1102,19.8,.565,.530,.005,.315,12.7,18.2,17.8,0.7,4.0,16.8,23.5,107,110,1.9,0.6,2.5,.091
Bridget Carleton,MIN,F,44,1227,10.0,.538,.526,.665,.098,3.9,7.7,10.1,1.6,0.9,11.1,11.2,112,104,1.6,1.8,3.4,.110
Tina Charles,CON,C,43,1222,17.7,.515,.449,.078,.331,5.8,12.1,12.7,1.4,1.5,10.8,28.3,102,112,1.1,0.3,1.5,.048
Kaitlyn Chen,GSV,G,24,247,4.6,.452,.430,.300,.140,2.4,5.2,16.6,1.1,0.0,25.3,13.4,85,108,-0.3,0.2,-0.1,-0.015
Sonia Citron,WAS,G,44,1415,16.4,.609,.556,.384,.314,2.5,7.6,13.6,2.0,1.2,14.4,20.5,110,106,2.7,1.5,4.2,.119
Caitlin Clark,IND,G,13,404,16.5,.491,.441,.531,.255,0.3,9.8,47.2,2.7,1.6,23.2,31.5,94,102,-0.3,0.7,0.5,.045
Natasha Cloud,NYL,G,41,1191,14.2,.546,.507,.441,.198,1.5,7.4,28.9,2.1,1.1,16.9,17.7,108,104,1.8,1.7,3.5,.117
Nia Coffey,ATL,F,44,455,14.1,.503,.456,.558,.340,6.9,14.8,16.1,1.2,3.4,15.1,20.1,103,99,0.4,1.0,1.4,.121
Napheesa Collier,MIN,F,33,1065,30.2,.636,.579,.239,.330,7.1,13.5,18.2,2.7,4.3,10.6,28.6,123,96,5.5,2.7,8.3,.310
Sydney Colson,IND,G,30,404,5.8,.449,.428,.618,.092,2.1,3.8,20.7,1.9,1.4,30.7,12.7,86,107,-0.4,0.4,0.0,-0.004
Zia Cooke,SEA,G,26,261,5.6,.478,.446,.452,.274,2.7,3.2,8.1,2.0,0.3,18.9,20.4,83,107,-0.5,0.3,-0.3,-0.043
Kahleah Copper,PHO,G-F,28,752,14.4,.548,.503,.418,.244,1.6,6.2,10.6,2.0,0.6,13.4,27.6,98,105,0.2,1.0,1.2,.064
Sophie Cunningham,IND,G,30,756,12.8,.655,.614,.674,.274,2.4,8.4,7.1,2.0,0.4,14.8,13.6,118,105,1.5,1.0,2.5,.130
Damiris Dantas,IND,C-F,38,439,8.4,.453,.417,.525,.155,7.6,12.6,8.9,0.7,0.6,13.0,22.7,92,107,-0.3,0.4,0.1,.010
Kariata Diaby,CON,C,13,103,5.8,.620,.500,.000,1.000,3.3,7.5,7.8,3.0,0.9,37.3,14.2,85,110,-0.1,0.1,-0.1,-0.031
