Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,DWS_40,OWS_40,archetype_soft,resp_1,resp_2,resp_3,resp_4,resp_5,outlier_flag,latent_y_star,latent_y_pred,skill_score,skill_ci_low,skill_ci_high,Pos5,latent_y_pred_pos,skill_score_pos5,skill_score_global_from_pos_model
Monique Akoa Makani,PHO,G,41,881.0,12.2,0.556,0.523,0.464,0.155,3.2,5.9,20.5,1.9,0.3,16.3,17.3,107,106.0,1.2,1.0,2.2,0.099,0.0454029511918274,0.0544835414301929,2,0.0001393149678608,0.997686883768939,9.400458309260477e-37,0.0002470557310858,0.0019267455321147,0,-0.0750833776169343,0.0381787132937424,52.93911948049577,48.19071776653367,57.15034906014769,PG,-0.05414212378016309,46.666666666666664,45.52845528455285
Julie Allemand,LAS,G,34,963.0,11.5,0.547,0.528,0.635,0.119,1.6,7.9,25.7,2.4,0.1,24.1,10.2,110,111.0,1.2,0.4,1.5,0.064,0.0166147455867082,0.0498442367601246,2,1.751946321422286e-41,0.9870082734397287,1.1921651523993878e-20,0.0129917265602391,3.1520087176575644e-14,1,-0.4988826786974921,-0.5557400359554403,31.200072324655157,26.087895498689463,38.86520448707383,PG,-0.9277054719186943,23.333333333333332,22.764227642276424
Lindsay Allen,CON,G,31,450.0,6.6,0.493,0.423,0.277,0.354,2.3,4.2,21.5,1.2,1.3,29.2,10.7,93,116.0,-0.2,-0.2,-0.3,-0.029,-0.0177777777777777,-0.0177777777777777,5,3.215235568347118e-32,0.0053623264756339,2.1488895706589694e-27,6.436150831084863e-07,0.9946370299092828,0,-1.7540790839933085,-1.6180494965309706,0.0,0.0,0.1777496172570335,PG,-2.1192276305160904,3.3333333333333335,0.8130081300813009
Rebecca Allen,CHI,F-G,44,821.0,7.9,0.444,0.429,0.55,0.129,2.3,8.1,11.5,1.5,2.6,13.3,16.0,90,112.0,-0.6,0.2,-0.5,-0.022,0.0097442143727162,-0.0292326431181486,5,3.9130971055441225e-15,1.93202570098127e-08,0.0002723377354427,9.194695315581898e-05,0.9996356959911408,0,-1.507903857160665,-1.7145741499502485,0.0,0.0,0.0,SF,-1.4831916187940908,5.263157894736842,5.691056910569106
Laeticia Amihere,GSV,F,29,385.0,18.3,0.55,0.469,0.184,0.553,10.8,19.0,13.3,2.4,3.6,18.4,21.0,105,96.0,0.5,1.0,1.5,0.156,0.1038961038961039,0.0519480519480519,4,0.0032256196767374,1.3337822801332688e-27,1.6821774833503223e-40,0.9967743803232624,6.39446818735622e-43,0,0.9127882371412962,1.1782020717120334,94.66708577006834,88.26976537106924,100.0,PF,1.2582489140744582,73.68421052631578,91.869918699187
Ariel Atkins,CHI,G,34,970.0,16.0,0.551,0.503,0.326,0.255,2.8,6.9,23.5,2.8,2.3,17.1,22.7,103,110.0,1.1,0.5,1.6,0.065,0.0206185567010309,0.045360824742268,2,3.4923335464738236e-10,0.9957720457428336,3.3917914323810306e-63,0.000219047729537,0.004008906178396,0,-0.2497146266136528,-0.1473498500252209,46.14826771525852,42.25415806856072,51.01477717770016,PG,-0.09913624770161736,43.333333333333336,43.08943089430895
Shakira Austin,WAS,F-C,38,874.0,18.4,0.506,0.467,0.036,0.355,8.0,17.0,16.3,2.4,4.7,16.2,29.9,93,100.0,-0.8,1.8,1.1,0.049,0.0823798627002288,-0.0366132723112128,4,4.5110326777409824e-10,1.7486990961861944e-21,1.997485291709349e-111,0.999999999548896,6.014899615955997e-16,0,-0.147438226679391,0.7558940944149048,79.20946123075923,73.09776955552002,87.80851060116323,C,0.7361758694234741,70.83333333333333,78.04878048780488
Rachel Banham,CHI,G,44,1081.0,10.6,0.544,0.509,0.713,0.175,0.7,4.0,18.9,1.3,1.0,16.3,18.1,103,116.0,0.9,-0.3,0.5,0.02,-0.0111008325624421,0.0333024976873265,2,1.1499253639187017e-12,0.9645447886852044,9.048264409728544e-17,2.2898597001080533e-06,0.0354529214539454,0,-1.0241629693091938,-0.8947422941702592,18.791664463167617,14.85031952115015,23.279998924671222,SG,-1.0444459670535309,18.51851851851852,17.073170731707318
Sarah Ashlee Barker,LAS,G,34,481.0,4.1,0.458,0.423,0.587,0.231,2.5,8.2,9.4,1.2,0.8,24.4,14.1,81,113.0,-0.8,0.0,-0.8,-0.064,0.0,-0.0665280665280665,3,6.649776882079552e-18,7.429115464508053e-10,0.9613577984216708,1.839269060723196e-05,0.0386238081448102,0,-2.1499817357005258,-1.6485713984893238,0.0,0.0,0.0,SG,-1.8129046801569324,0.0,1.6260162601626018
Kierstan Bell,LVA,F,35,427.0,10.3,0.455,0.435,0.669,0.097,5.4,8.5,8.7,1.7,2.3,9.6,19.0,95,106.0,-0.1,0.5,0.3,0.031,0.0468384074941451,-0.009367681498829,5,1.5189429175589032e-19,3.7654182887872784e-06,2.299476660020661e-18,0.000872341172984,0.9991238934087272,0,-0.7779404185631719,-0.996843079481332,15.054497065553557,9.314696886983748,19.440572046616754,SF,-0.842692779096413,36.84210526315789,26.01626016260163
Monique Billings,GSV,F,26,474.0,16.9,0.545,0.51,0.238,0.351,9.3,14.3,5.8,1.8,4.7,10.8,19.2,108,99.0,0.7,1.0,1.7,0.145,0.0843881856540084,0.0590717299578059,4,5.040211257273689e-11,1.4554001294193915e-14,7.794898822687329e-26,0.9999999979482848,2.0012986728344793e-09,0,0.6826838982346877,0.609958032386952,73.86780306931213,66.75216332491254,78.9041975894109,PF,0.567171368710956,42.10526315789473,71.54471544715449
Aliyah Boston,IND,C-F,44,1327.0,22.8,0.58,0.544,0.058,0.292,9.6,16.5,21.3,2.0,2.8,12.5,21.9,118,101.0,4.6,2.5,7.1,0.215,0.0753579502637528,0.1386586284853052,4,4.428963216199045e-12,4.235369927777893e-15,4.6384156828371666e-38,0.9999999999955672,1.0844919169169723e-40,0,1.6294649781319306,1.0948963978158788,91.61787074618336,86.17922197820232,98.4098852715546,C,1.360781076162719,87.5,92.6829268292683
Cameron Brink,LAS,F,19,244.0,15.3,0.526,0.488,0.415,0.256,13.0,20.1,6.0,2.1,9.8,21.5,21.3,94,102.0,-0.1,0.4,0.3,0.055,0.0655737704918032,-0.0163934426229508,4,1.6270378515607322e-12,4.772078071495363e-40,1.4300215625298757e-51,0.9999999999983727,9.158818928549186e-30,0,-0.308595399193927,0.3710866811451569,65.12445968204005,61.13695350129347,71.63233616672751,PF,0.07418054814404242,15.789473684210526,47.967479674796756
Kalani Brown,PHO,C,29,370.0,18.8,0.664,0.63,0.083,0.365,10.9,18.1,7.4,1.0,4.6,17.1,16.3,119,100.0,1.0,0.7,1.7,0.187,0.0756756756756756,0.1081081081081081,4,2.498147415500605e-05,5.7523340922791795e-24,2.0015825808072712e-89,0.9999750185258452,6.7058837177317796e-43,1,1.1458249069088444,1.415293918403662,100.0,95.00029425844468,100.0,C,1.5197039438160924,91.66666666666666,95.1219512195122
Lexie Brown,SEA,G,24,227.0,8.5,0.487,0.458,0.771,0.208,1.0,4.5,14.5,2.0,0.4,10.3,11.8,103,106.0,0.1,0.3,0.4,0.069,0.052863436123348,0.0176211453744493,5,1.1256802473424209e-07,0.0379738215955221,1.864805142106725e-21,2.546514306450365e-06,0.9620235193221468,0,-0.5299635869419184,-0.7257045836927956,24.97890600728523,18.294271220150225,30.105681619953955,SG,-1.094215644474464,14.814814814814813,12.195121951219514
Paige Bueckers,DAL,G,36,1199.0,22.1,0.567,0.513,0.217,0.28,2.3,6.8,30.2,2.4,1.4,10.6,24.7,115,112.0,4.0,0.4,4.4,0.147,0.0133444537114261,0.1334445371142618,2,2.918939063716303e-29,0.9999479937467118,9.78488146065596e-119,4.5742032593983085e-05,6.26422069413486e-06,0,0.8147750212445773,0.0712576013409413,54.1498970624965,49.94492200305109,59.53077334225221,PG,0.26250334357234884,60.0,54.47154471544716
Kennedy Burke,NYL,G-F,36,779.0,13.9,0.602,0.573,0.509,0.248,3.3,6.3,9.5,1.8,1.9,12.3,16.4,110,106.0,1.2,0.9,2.1,0.109,0.0462130937098844,0.0616174582798459,1,0.9789951508255093,0.0059932215146213,0.0138928448106368,0.0003800967822374,0.0007386860669955,0,0.0994496709792778,0.1883506627978208,58.4358226842264,50.57216282352188,62.40017685100799,SF,0.09507450638427896,63.1578947368421,48.78048780487806
Rae Burrell,LAS,G-F,28,515.0,13.0,0.531,0.494,0.376,0.264,4.3,7.6,10.8,1.6,1.1,11.2,19.4,104,113.0,0.5,0.0,0.6,0.045,0.0,0.0388349514563106,3,1.0901299757560684e-08,0.0086023127856105,0.8087065286818457,7.672608257766267e-05,0.1826144215486662,0,-0.6808203756883351,-0.8117966024166277,21.827703158166766,15.343383802171465,27.49900366254893,SG,-0.843716724674157,40.74074074074074,25.20325203252033
Veronica Burton,GSV,G,44,1292.0,19.3,0.561,0.466,0.46,0.491,4.6,8.7,37.6,2.1,2.2,16.7,20.3,117,102.0,4.2,2.2,6.4,0.198,0.0681114551083591,0.1300309597523219,2,1.0937903934791676e-51,0.9999999542602735,7.0657004612577e-221,4.573972609864604e-08,3.8120166770092175e-30,0,1.2743431011839137,0.712654564617529,77.62677643010284,73.69841155472568,82.05127515922048,PG,0.8736222054876264,90.0,82.92682926829269
Maya Caldwell,ATL,G,41,760.0,12.7,0.542,0.526,0.564,0.103,5.2,9.9,15.2,2.6,0.8,16.4,14.7,107,100.0,0.8,1.5,2.4,0.125,0.0789473684210526,0.0421052631578947,1,0.9953740184454676,6.147988255245428e-05,4.819646666221633e-12,0.0045645012995793,3.6758111279305435e-10,0,0.2485734842093091,0.3740935974511161,65.23452102536613,58.85789997866249,69.4915644408303,SG,0.34399513140189586,77.77777777777777,59.34959349593496
Jordin Canada,ATL,G,28,783.0,16.5,0.498,0.441,0.315,0.352,1.2,6.9,33.2,3.2,1.0,16.4,22.1,104,99.0,0.9,1.7,2.6,0.135,0.0868454661558109,0.0459770114942528,2,2.1834699669651634e-11,0.9999998768408536,1.7788120790303746e-304,1.2313492596730045e-07,2.386105267163428e-12,0,0.570735711917543,0.1376954562157397,56.5817038742565,49.845281132693806,63.76324335318188,PG,0.4075434394754631,70.0,62.60162601626017
Kamilla Cardoso,CHI,C,40,1102.0,19.8,0.565,0.53,0.005,0.315,12.7,18.2,17.8,0.7,4.0,16.8,23.5,107,110.0,1.9,0.6,2.5,0.091,0.0217785843920145,0.0689655172413793,4,1.507814877580423e-24,1.69954861020904e-26,1.822334389187296e-21,1.0,1.5891222764952015e-34,0,0.1902709837672067,0.2412143828889094,60.370779116139225,57.02551691288807,69.21957211425911,C,0.4768701201481575,45.83333333333333,65.04065040650407
Bridget Carleton,MIN,F,44,1227.0,10.0,0.538,0.526,0.665,0.098,3.9,7.7,10.1,1.6,0.9,11.1,11.2,112,104.0,1.6,1.8,3.4,0.11,0.058679706601467,0.052159739201304,3,0.0006777895061083,0.0001429506360193,0.9975091001350574,0.0004396144060883,0.0012305453167265,0,-0.0575356123860135,-0.2668069238280801,41.7758127897624,33.916985844007804,47.14316466274589,SF,-0.22731321329585932,52.63157894736842,39.837398373983746
Tina Charles,CON,C,43,1222.0,17.7,0.515,0.449,0.078,0.331,5.8,12.1,12.7,1.4,1.5,10.8,28.3,102,112.0,1.1,0.3,1.5,0.048,0.0098199672667757,0.0360065466448445,5,6.975472862186545e-14,5.762040581115766e-10,1.4311335435295424e-30,0.0006719821841688,0.999328017239558,0,-0.360356176741726,-0.4680263631321244,34.41063213966113,29.209419052440584,41.15786932441561,C,-0.6990057825834923,16.666666666666664,29.268292682926834
Kaitlyn Chen,GSV,G,24,247.0,4.6,0.452,0.43,0.3,0.14,2.4,5.2,16.6,1.1,0.0,25.3,13.4,85,108.0,-0.3,0.2,-0.1,-0.015,0.0323886639676113,-0.048582995951417,5,4.3801185585918936e-10,0.0006021442376878,1.3998388697778112e-35,4.075395199237866e-07,0.9993974477847803,0,-1.5825515104282264,-1.3411679484996897,2.451267122095062,0.0,7.328806601171791,SG,-1.51425477516244,7.4074074074074066,4.878048780487805
Sonia Citron,WAS,G,44,1415.0,16.4,0.609,0.556,0.384,0.314,2.5,7.6,13.6,2.0,1.2,14.4,20.5,110,106.0,2.7,1.5,4.2,0.119,0.0424028268551236,0.0763250883392226,1,0.9858608706929508,0.0129265841034339,2.9433818718942056e-07,0.0010534092303762,0.0001588416350519,0,0.3205926248017878,0.3987500565747082,66.13701472212419,58.08746777046814,70.87934122652982,SG,0.5904246513021112,92.59259259259258,72.35772357723577
Caitlin Clark,IND,G,13,404.0,16.5,0.491,0.441,0.531,0.255,0.3,9.8,47.2,2.7,1.6,23.2,31.5,94,102.0,-0.3,0.7,0.5,0.045,0.0693069306930693,-0.0297029702970297,2,5.891211966214972e-49,0.9999989418673876,0.0,1.0581326112998e-06,7.507485027320683e-27,1,-0.3274199680629226,0.284041311757256,61.93836159671555,55.588565002432,75.19265962091531,PG,0.9107830618567221,93.33333333333333,83.739837398374
Natasha Cloud,NYL,G,41,1191.0,14.2,0.546,0.507,0.441,0.198,1.5,7.4,28.9,2.1,1.1,16.9,17.7,108,104.0,1.8,1.7,3.5,0.117,0.0570948782535684,0.0604534005037783,2,1.1769752787775343e-20,0.9999909923099156,4.44741914714612e-107,9.00768927489016e-06,8.094534028271473e-13,0,0.2246516170247577,0.1939506656928196,58.640798073808085,54.67816986767168,63.3419138158876,PG,0.18978309739769783,50.0,50.40650406504066
Nia Coffey,ATL,F,44,455.0,14.1,0.503,0.456,0.558,0.34,6.9,14.8,16.1,1.2,3.4,15.1,20.1,103,99.0,0.4,1.0,1.4,0.121,0.0879120879120879,0.0351648351648351,1,0.847743582006908,7.143041937315009e-16,2.9551904371795413e-43,0.152256417993091,7.386397768043734e-21,0,0.3376588240297702,0.4664940494034956,68.61662974773449,62.5291525281383,77.02732581426056,PF,0.3899571023300784,31.57894736842105,60.97560975609757
Napheesa Collier,MIN,F,33,1065.0,30.2,0.636,0.579,0.239,0.33,7.1,13.5,18.2,2.7,4.3,10.6,28.6,123,96.0,5.5,2.7,8.3,0.31,0.1014084507042253,0.2065727699530516,4,1.5628434909860501e-09,1.7378970452227277e-07,5.640808898280409e-85,0.999999824647452,2.3759301212854377e-19,0,2.9638454847220803,1.9292658293018212,100.0,100.0,100.0,PF,2.6860123644011744,100.0,100.0
Sydney Colson,IND,G,30,404.0,5.8,0.449,0.428,0.618,0.092,2.1,3.8,20.7,1.9,1.4,30.7,12.7,86,107.0,-0.4,0.4,0.0,-0.004,0.0396039603960396,-0.0396039603960396,5,8.11156323595015e-11,0.0027735858084005,2.318289864981501e-77,5.7554620228625055e-09,0.9972264083550216,0,-1.3724878464435388,-1.2588677060659332,5.463680610415329,0.0,11.621813028362013,PG,-1.705001785968902,6.666666666666667,3.2520325203252036
Zia Cooke,SEA,G,26,261.0,5.6,0.478,0.446,0.452,0.274,2.7,3.2,8.1,2.0,0.3,18.9,20.4,83,107.0,-0.5,0.3,-0.3,-0.043,0.0459770114942528,-0.0766283524904214,2,1.6617041120113746e-28,0.9999988732244984,7.26060821726023e-35,1.1267754917619649e-06,9.448519274885938e-15,0,-1.6888024245429678,-1.0244078376773165,14.0455516853658,8.199456636869957,20.78776533015341,SG,-0.9857576691718406,29.629629629629626,21.138211382113823
Kahleah Copper,PHO,G-F,28,752.0,14.4,0.548,0.503,0.418,0.244,1.6,6.2,10.6,2.0,0.6,13.4,27.6,98,105.0,0.2,1.0,1.2,0.064,0.0531914893617021,0.0106382978723404,2,3.323265398155954e-15,0.999790267730812,4.49287381768758e-56,0.000209732102393,1.6679142723022357e-10,0,-0.2723721955052638,0.245233001628341,60.51787152968618,54.07145502352771,67.2133143403928,SG,0.44770879401402686,88.88888888888889,64.22764227642277
