Season,IND__Team,IND__W,IND__L,IND__W/L%,IND__Finish,IND__SRS,IND__Pace,IND__ORtg,IND__DRtg,IND__Coaches,IND__Playoffs Result,IND__Top WS
2000,Indiana Fever,9.0,23.0,0.281,7.0,-3.7,69.8,98.7,102.1,Anne Donovan (9-23),,
2001,Indiana Fever,10.0,22.0,0.313,6.0,-2.9,68.7,96.8,101.2,Nell Fortner (10-22),,
2002,Indiana Fever*,16.0,16.0,0.5,4.0,-1.0,66.3,98.5,100.0,Nell Fortner (16-16),Lost E. Conf. Semis,
2003,Indiana Fever,16.0,18.0,0.471,5.0,0.6,67.0,101.5,100.8,Nell Fortner (16-18),,
2004,Indiana Fever,15.0,19.0,0.441,6.0,-1.7,66.2,96.9,99.0,Brian Winters (15-19),,
2005,Indiana Fever*,21.0,13.0,0.618,2.0,0.9,65.8,95.2,93.6,Brian Winters (21-13),Lost E. Conf. Finals,
2006,Indiana Fever*,21.0,13.0,0.618,3.0,2.9,74.0,96.1,91.4,Brian Winters (21-13),Lost E. Conf. Semis,
2007,Indiana Fever*,21.0,13.0,0.618,2.0,3.1,75.7,95.3,91.1,Brian Winters (21-13),Lost E. Conf. Finals,
2008,Indiana Fever*,17.0,17.0,0.5,4.0,-0.1,75.3,94.5,93.9,Lin Dunn (17-17),Lost E. Conf. Semis,
2009,Indiana Fever*,22.0,12.0,0.647,1.0,2.7,76.4,98.5,94.5,Lin Dunn (22-12),Lost Finals,
2010,Indiana Fever*,21.0,13.0,0.618,3.0,4.9,75.9,102.0,96.5,Lin Dunn (21-13),Lost E. Conf. Semis,
2011,Indiana Fever*,21.0,13.0,0.618,1.0,3.5,74.8,103.5,98.3,Lin Dunn (21-13),Lost E. Conf. Finals,
2012,Indiana Fever*,22.0,12.0,0.647,2.0,5.4,74.5,104.4,96.4,Lin Dunn (22-12),Won Finals,
2013,Indiana Fever*,16.0,18.0,0.471,4.0,-0.4,72.0,97.3,96.8,Lin Dunn (16-18),Lost E. Conf. Finals,
2014,Indiana Fever*,16.0,18.0,0.471,2.0,-1.3,73.8,99.0,100.3,Lin Dunn (16-18),Lost E. Conf. Finals,
2015,Indiana Fever*,20.0,14.0,0.588,3.0,2.5,76.4,101.0,98.5,Stephanie White (20-14),Lost Finals,
2016,Indiana Fever*,17.0,17.0,0.5,3.0,-0.3,77.0,103.7,104.2,Stephanie White (17-17),Lost 1st Round,
2017,Indiana Fever,9.0,25.0,0.265,6.0,-8.4,76.4,97.6,109.5,Pokey Chatman (9-25),,
2018,Indiana Fever,6.0,28.0,0.176,6.0,-8.5,77.0,97.8,109.7,Pokey Chatman (6-28),,
2019,Indiana Fever,13.0,21.0,0.382,4.0,-2.7,76.7,100.5,104.0,Pokey Chatman (13-21),,
2020,Indiana Fever,6.0,16.0,0.273,5.0,-7.2,78.5,104.0,114.0,Marianne Stanley (6-16),,
2021,Indiana Fever,6.0,26.0,0.188,6.0,-9.0,77.3,97.4,110.1,Marianne Stanley (6-26),,
2022,Indiana Fever,5.0,31.0,0.139,6.0,-10.0,80.2,96.6,110.3,"Marianne Stanley (2-7), Carlos Knox (3-24)",,
2023,Indiana Fever,13.0,27.0,0.325,6.0,-3.9,77.9,103.0,108.1,Christie Sides (13-27),,
2024,Indiana Fever*,20.0,20.0,0.5,3.0,-2.2,79.8,106.1,109.5,Christie Sides (20-20),Lost 1st Round,
2025,Indiana Fever*,24.0,20.0,0.545,3.0,2.5,78.0,108.4,104.1,Stephanie White (24-20),Lost Semis,
