Player,Pos,Age,Protection,2025_salary_m,2025_pct,2025_status,2026_salary_m,2026_pct,2026_status,2027_salary_m,2027_pct,2027_status,2028_salary_m,2028_pct,2028_status
Mitchell  Kelsey Mitchell,G,29.0,Protected,26.924417899999998,244.179,,,,UFA,,,,,,
Howard  Natasha Howard,F,33.0,Protected,21.4466142,466.142,,,,UFA,,,,,,
Cunningham  Sophie Cunningham,G,28.0,Unprotected,1.0000066,0.066,,,,UFA,,,,,,
Dantas  Damiris Dantas,F,32.0,Protected,1.0000066,0.066,,,,UFA,,,,,,
Colson  Sydney Colson,G,36.0,Unprotected,0.900006,0.06,,,,UFA,,,,,,
Hull  Lexie Hull,G,25.0,Club-exercised,0.8826159,26.159000000000002,,,,RFA,,,,,,
Turner  Brianna Turner,F,29.0,Unprotected,0.8500056,0.055999999999999994,,,,UFA,,,,,,
Boston  Aliyah Boston,F,23.0,Unprotected,0.8337155,37.155,,0.9474061,74.061,,,,RFA,,,
Clark  Caitlin Clark,G,23.0,Unprotected,0.7806652,6.652,,0.8587355,87.355,,0.9758261,58.261,,,,RFA
Timpson  Makayla Timpson,F,22.0,Unprotected,0.6926746,26.746,,0.7065346,65.346,,0.7772049,72.04899999999999,,0.088317,,
McDonald  Aari McDonald,G,27.0,Unprotected,0.5233335,33.335,,,,UFA,,,,,,
Bibby  Chloe Bibby,F,27.0,Unprotected,0.2332215,32.215,,,,,,,,,,
Sims  Odyssey Sims,G,33.0,,0.0794905,94.905,,,,UFA,,,,,,
Hall  Bree Hall,G,22.0,Unprotected,0.0444203,44.203,,,,,,,,,,
Powers  Aerial Powers,F,31.0,Unprotected,0.0397503,97.50299999999999,,,,,,,,,,
Peddy  Shey Peddy,G,36.0,Unprotected,0.019870099999999998,98.70100000000001,,,,,,,,,,
