Player,Team,WS/40,TS%,USG%,AST%,TRB%,DWS_40
Monique Akoa Makani,PHO,0.099,0.556,17.3,20.5,5.9,0.04540295119182747
Julie Allemand,LAS,0.064,0.547,10.2,25.7,7.9,0.016614745586708203
Lindsay Allen,CON,-0.029,0.493,10.7,21.5,4.2,-0.017777777777777778
Rebecca Allen,CHI,-0.022,0.444,16.0,11.5,8.1,0.0097442143727162
Laeticia Amihere,GSV,0.156,0.55,21.0,13.3,19.0,0.1038961038961039
Yvonne Anderson,MIN,-0.034,0.0,11.5,20.8,5.0,0.0
Ariel Atkins,CHI,0.065,0.551,22.7,23.5,6.9,0.020618556701030927
Shakira Austin,WAS,0.049,0.506,29.9,16.3,17.0,0.08237986270022883
Marième Badiane,MIN,-0.367,0.0,20.9,0.0,5.4,0.0
Rachel Banham,CHI,0.02,0.544,18.1,18.9,4.0,-0.011100832562442183
Sarah Ashlee Barker,LAS,-0.064,0.458,14.1,9.4,8.2,0.0
Kierstan Bell,LVA,0.031,0.455,19.0,8.7,8.5,0.046838407494145196
Monique Billings,GSV,0.145,0.545,19.2,5.8,14.3,0.08438818565400844
Aliyah Boston,IND,0.215,0.58,21.9,21.3,16.5,0.07535795026375283
Crystal Bradford,LVA,0.007,0.333,13.3,6.3,12.2,0.0
Cameron Brink,LAS,0.055,0.526,21.3,6.0,20.1,0.06557377049180328
Jaelyn Brown,CON,-0.027,0.488,14.9,1.3,5.5,0.0
Kalani Brown,PHO,0.187,0.664,16.3,7.4,18.1,0.07567567567567568
Lexie Brown,SEA,0.069,0.487,11.8,14.5,4.5,0.05286343612334801
Paige Bueckers,DAL,0.147,0.567,24.7,30.2,6.8,0.013344453711426188
Kennedy Burke,NYL,0.109,0.602,16.4,9.5,6.3,0.04621309370988447
Rae Burrell,LAS,0.045,0.531,19.4,10.8,7.6,0.0
Veronica Burton,GSV,0.198,0.561,20.3,37.6,8.7,0.06811145510835914
Maya Caldwell,ATL,0.125,0.542,14.7,15.2,9.9,0.07894736842105263
Jordin Canada,ATL,0.135,0.498,22.1,33.2,6.9,0.08684546615581099
Emma Cannon,LAS,0.076,0.636,18.7,6.2,10.7,0.018779342723004695
Kamilla Cardoso,CHI,0.091,0.565,23.5,17.8,18.2,0.021778584392014515
Bridget Carleton,MIN,0.11,0.538,11.2,10.1,7.7,0.058679706601467
Tina Charles,CON,0.048,0.515,28.3,12.7,12.1,0.009819967266775777
Kaitlyn Chen,GSV,-0.015,0.452,13.4,16.6,5.2,0.032388663967611336
Sonia Citron,WAS,0.119,0.609,20.5,13.6,7.6,0.04240282685512367
Caitlin Clark,IND,0.045,0.491,31.5,47.2,9.8,0.0693069306930693
Natasha Cloud,NYL,0.117,0.546,17.7,28.9,7.4,0.05709487825356843
Nia Coffey,ATL,0.121,0.503,20.1,16.1,14.8,0.0879120879120879
Napheesa Collier,MIN,0.31,0.636,28.6,18.2,13.5,0.10140845070422537
Sydney Colson,IND,-0.004,0.449,12.7,20.7,3.8,0.039603960396039604
Zia Cooke,SEA,-0.043,0.478,20.4,8.1,3.2,0.04597701149425287
Kahleah Copper,PHO,0.064,0.548,27.6,10.6,6.2,0.05319148936170213
Sophie Cunningham,IND,0.13,0.655,13.6,7.1,8.4,0.05291005291005291
