leverage,macro,cash_flow,a_debt,a_debt_label,action_vector
0.1,0,-5.0,1,maintain,"[2, 1, 1, 1, 1, 0]"
0.1,0,0.0,1,maintain,"[4, 1, 0, 0, 1, 1]"
0.1,0,5.0,2,leverage_up,"[4, 3, 2, 2, 2, 1]"
0.1,0,10.0,1,maintain,"[3, 1, 1, 1, 1, 3]"
0.1,1,-5.0,2,leverage_up,"[3, 2, 3, 0, 2, 0]"
0.1,1,0.0,1,maintain,"[4, 0, 2, 2, 1, 1]"
0.1,1,5.0,2,leverage_up,"[4, 2, 0, 2, 2, 0]"
0.1,1,10.0,2,leverage_up,"[0, 2, 0, 2, 2, 0]"
0.1,2,-5.0,1,maintain,"[3, 3, 0, 0, 1, 3]"
0.1,2,0.0,2,leverage_up,"[1, 1, 3, 1, 2, 0]"
0.1,2,5.0,0,deleverage,"[0, 3, 3, 1, 0, 0]"
0.1,2,10.0,2,leverage_up,"[4, 0, 2, 0, 2, 3]"
0.2,0,-5.0,2,leverage_up,"[0, 3, 4, 2, 2, 0]"
0.2,0,0.0,1,maintain,"[0, 1, 2, 2, 1, 0]"
0.2,0,5.0,2,leverage_up,"[3, 3, 4, 2, 2, 3]"
0.2,0,10.0,2,leverage_up,"[1, 3, 4, 1, 2, 1]"
0.2,1,-5.0,0,deleverage,"[3, 1, 3, 1, 0, 3]"
0.2,1,0.0,2,leverage_up,"[2, 0, 1, 1, 2, 3]"
0.2,1,5.0,1,maintain,"[2, 1, 3, 1, 1, 1]"
0.2,1,10.0,1,maintain,"[4, 0, 0, 0, 1, 2]"
0.2,2,-5.0,0,deleverage,"[0, 2, 2, 1, 0, 0]"
0.2,2,0.0,1,maintain,"[3, 3, 1, 1, 1, 3]"
0.2,2,5.0,0,deleverage,"[2, 3, 2, 0, 0, 3]"
0.2,2,10.0,1,maintain,"[3, 2, 3, 1, 1, 0]"
0.3,0,-5.0,2,leverage_up,"[1, 0, 2, 2, 2, 1]"
0.3,0,0.0,0,deleverage,"[0, 3, 0, 0, 0, 1]"
0.3,0,5.0,0,deleverage,"[3, 3, 2, 0, 0, 2]"
0.3,0,10.0,1,maintain,"[1, 0, 0, 1, 1, 1]"
0.3,1,-5.0,1,maintain,"[3, 0, 2, 0, 1, 3]"
0.3,1,0.0,2,leverage_up,"[1, 0, 3, 1, 2, 0]"
0.3,1,5.0,2,leverage_up,"[2, 0, 1, 2, 2, 1]"
0.3,1,10.0,0,deleverage,"[1, 3, 1, 2, 0, 1]"
0.3,2,-5.0,2,leverage_up,"[3, 1, 3, 2, 2, 0]"
0.3,2,0.0,2,leverage_up,"[1, 3, 1, 0, 2, 0]"
0.3,2,5.0,1,maintain,"[3, 1, 0, 1, 1, 1]"
0.3,2,10.0,0,deleverage,"[1, 2, 4, 1, 0, 0]"
0.4,0,-5.0,1,maintain,"[3, 0, 2, 2, 1, 1]"
0.4,0,0.0,0,deleverage,"[4, 2, 0, 1, 0, 0]"
0.4,0,5.0,2,leverage_up,"[1, 3, 1, 0, 2, 0]"
0.4,0,10.0,0,deleverage,"[3, 0, 4, 0, 0, 2]"
0.4,1,-5.0,2,leverage_up,"[2, 3, 2, 2, 2, 1]"
0.4,1,0.0,1,maintain,"[1, 0, 3, 2, 1, 1]"
0.4,1,5.0,2,leverage_up,"[0, 1, 2, 2, 2, 3]"
0.4,1,10.0,1,maintain,"[2, 1, 2, 2, 1, 1]"
0.4,2,-5.0,0,deleverage,"[3, 3, 4, 0, 0, 1]"
0.4,2,0.0,0,deleverage,"[3, 3, 2, 2, 0, 0]"
0.4,2,5.0,0,deleverage,"[0, 1, 1, 2, 0, 0]"
0.4,2,10.0,1,maintain,"[3, 3, 3, 2, 1, 2]"
0.5,0,-5.0,2,leverage_up,"[2, 0, 2, 0, 2, 2]"
0.5,0,0.0,1,maintain,"[3, 1, 1, 1, 1, 2]"
0.5,0,5.0,0,deleverage,"[2, 0, 0, 2, 0, 1]"
0.5,0,10.0,0,deleverage,"[2, 2, 1, 2, 0, 2]"
0.5,1,-5.0,0,deleverage,"[4, 2, 4, 2, 0, 3]"
0.5,1,0.0,2,leverage_up,"[0, 1, 1, 1, 2, 0]"
0.5,1,5.0,1,maintain,"[1, 0, 4, 0, 1, 3]"
0.5,1,10.0,2,leverage_up,"[2, 2, 0, 0, 2, 0]"
0.5,2,-5.0,0,deleverage,"[4, 1, 1, 2, 0, 0]"
0.5,2,0.0,0,deleverage,"[4, 3, 3, 0, 0, 1]"
0.5,2,5.0,2,leverage_up,"[1, 0, 0, 2, 2, 3]"
0.5,2,10.0,2,leverage_up,"[3, 1, 2, 1, 2, 2]"
0.6,0,-5.0,0,deleverage,"[1, 1, 0, 2, 0, 3]"
0.6,0,0.0,2,leverage_up,"[0, 1, 4, 2, 2, 2]"
0.6,0,5.0,1,maintain,"[1, 3, 2, 0, 1, 2]"
0.6,0,10.0,2,leverage_up,"[2, 3, 1, 1, 2, 2]"
0.6,1,-5.0,0,deleverage,"[0, 0, 3, 2, 0, 2]"
0.6,1,0.0,0,deleverage,"[2, 3, 1, 0, 0, 3]"
0.6,1,5.0,2,leverage_up,"[2, 0, 3, 0, 2, 3]"
0.6,1,10.0,2,leverage_up,"[4, 0, 4, 1, 2, 3]"
0.6,2,-5.0,2,leverage_up,"[2, 3, 1, 1, 2, 0]"
0.6,2,0.0,2,leverage_up,"[1, 2, 3, 0, 2, 0]"
0.6,2,5.0,0,deleverage,"[3, 2, 2, 1, 0, 0]"
0.6,2,10.0,2,leverage_up,"[3, 1, 4, 2, 2, 3]"
