a_roster,roster_label,a_salary,salary_label,mean_reward,std_reward,mean_terminal
2,hold,0,floor,17.773,4.248,359.739
2,hold,1,over_cap,16.684,4.248,359.739
2,hold,2,taxpayer,15.58,4.248,359.739
2,hold,3,apron,15.447,4.248,359.739
4,buyer_aggressive,3,apron,15.847,3.102,347.001
4,buyer_aggressive,2,taxpayer,15.498,3.067,345.725
3,buyer_conservative,3,apron,14.398,2.984,344.596
4,buyer_aggressive,1,over_cap,15.17,3.033,344.503
3,buyer_conservative,2,taxpayer,14.376,2.973,344.16
3,buyer_conservative,1,over_cap,14.36,2.962,343.74
3,buyer_conservative,0,floor,16.226,2.947,343.141
4,buyer_aggressive,0,floor,16.605,2.985,342.807
1,seller_conservative,0,floor,15.511,2.905,341.112
1,seller_conservative,1,over_cap,15.261,2.9,340.693
1,seller_conservative,2,taxpayer,14.074,2.897,340.433
1,seller_conservative,3,apron,12.852,2.895,340.187
0,seller_aggressive,0,floor,14.787,2.889,338.028
0,seller_aggressive,1,over_cap,14.409,2.889,337.304
0,seller_aggressive,2,taxpayer,13.161,2.893,336.905
0,seller_aggressive,3,apron,11.897,2.9,336.564
