site,policy,n,a_roster_mean,a_roster_mode,a_salary_mean,a_salary_mode,a_ticket_mean,a_ticket_mode,a_marketing_mean,a_marketing_mode,a_debt_mean,a_debt_mode,a_equity_mean,a_equity_mode,action_vector_mean
Columbus,aggressive,2,6.0,6,5.0,5,6.0,6,3.0,3,2.0,2,0.0,0,"(6.00, 5.00, 6.00, 3.00, 2.00, 0.00)"
Columbus,baseline,2,3.0,3,2.0,2,2.0,2,1.0,1,2.0,2,0.0,0,"(3.00, 2.00, 2.00, 1.00, 2.00, 0.00)"
Columbus,defensive,2,3.0,3,1.0,1,2.0,2,3.0,3,1.0,1,0.0,0,"(3.00, 1.00, 2.00, 3.00, 1.00, 0.00)"
Columbus,ppo,2,4.0,4,5.0,5,0.0,0,0.0,0,1.0,1,0.0,0,"(4.00, 5.00, 0.00, 0.00, 1.00, 0.00)"
Denver,aggressive,2,6.0,6,5.0,5,6.0,6,3.0,3,2.0,2,0.0,0,"(6.00, 5.00, 6.00, 3.00, 2.00, 0.00)"
Denver,baseline,2,3.0,3,2.0,2,2.0,2,1.0,1,2.0,2,0.0,0,"(3.00, 2.00, 2.00, 1.00, 2.00, 0.00)"
Denver,defensive,2,3.0,3,1.0,1,2.0,2,3.0,3,1.0,1,0.0,0,"(3.00, 1.00, 2.00, 3.00, 1.00, 0.00)"
Denver,ppo,2,2.0,2,5.0,5,0.0,0,2.0,2,1.0,1,0.0,0,"(2.00, 5.00, 0.00, 2.00, 1.00, 0.00)"
Nashville,aggressive,2,6.0,6,5.0,5,6.0,6,3.0,3,2.0,2,0.0,0,"(6.00, 5.00, 6.00, 3.00, 2.00, 0.00)"
Nashville,baseline,2,3.0,3,2.0,2,2.0,2,1.0,1,2.0,2,0.0,0,"(3.00, 2.00, 2.00, 1.00, 2.00, 0.00)"
Nashville,defensive,2,3.0,3,1.0,1,2.0,2,3.0,3,1.0,1,0.0,0,"(3.00, 1.00, 2.00, 3.00, 1.00, 0.00)"
Nashville,ppo,2,6.0,6,4.0,4,1.0,1,0.0,0,1.5,1,0.0,0,"(6.00, 4.00, 1.00, 0.00, 1.50, 0.00)"
Portland,aggressive,2,6.0,6,5.0,5,6.0,6,3.0,3,2.0,2,0.0,0,"(6.00, 5.00, 6.00, 3.00, 2.00, 0.00)"
Portland,baseline,2,3.0,3,2.0,2,2.0,2,1.0,1,2.0,2,0.0,0,"(3.00, 2.00, 2.00, 1.00, 2.00, 0.00)"
Portland,defensive,2,3.0,3,1.0,1,2.0,2,3.0,3,1.0,1,0.0,0,"(3.00, 1.00, 2.00, 3.00, 1.00, 0.00)"
Portland,ppo,2,4.0,3,5.0,5,0.0,0,0.0,0,1.0,1,0.0,0,"(4.00, 5.00, 0.00, 0.00, 1.00, 0.00)"
StLouis,aggressive,2,6.0,6,5.0,5,6.0,6,3.0,3,2.0,2,0.0,0,"(6.00, 5.00, 6.00, 3.00, 2.00, 0.00)"
StLouis,baseline,2,3.0,3,2.0,2,2.0,2,1.0,1,2.0,2,0.0,0,"(3.00, 2.00, 2.00, 1.00, 2.00, 0.00)"
StLouis,defensive,2,3.0,3,1.0,1,2.0,2,3.0,3,1.0,1,0.0,0,"(3.00, 1.00, 2.00, 3.00, 1.00, 0.00)"
StLouis,ppo,2,2.0,2,5.0,5,1.0,0,0.0,0,0.5,0,0.0,0,"(2.00, 5.00, 1.00, 0.00, 0.50, 0.00)"
Toronto,aggressive,2,6.0,6,5.0,5,6.0,6,3.0,3,2.0,2,0.0,0,"(6.00, 5.00, 6.00, 3.00, 2.00, 0.00)"
Toronto,baseline,2,3.0,3,2.0,2,2.0,2,1.0,1,2.0,2,0.0,0,"(3.00, 2.00, 2.00, 1.00, 2.00, 0.00)"
Toronto,defensive,2,3.0,3,1.0,1,2.0,2,3.0,3,1.0,1,0.0,0,"(3.00, 1.00, 2.00, 3.00, 1.00, 0.00)"
Toronto,ppo,2,2.0,2,3.5,2,1.0,0,2.0,2,1.0,1,0.0,0,"(2.00, 3.50, 1.00, 2.00, 1.00, 0.00)"
