site,team,team_name,impact_score,dist_km,overlap,market_idx,strength_idx,scarcity,media_term,market_term,compete_term,travel_term,scarcity_term
Columbus,ATL,Atlanta Dream,-0.053182001481087454,701.7074185891013,0.0,0.46282264184143673,0.12512851962120294,2,0.011940824159509067,-0.005091049060255804,-0.026858867907928165,0.001821950542739325,-0.03499485921515188
Columbus,CHI,Chicago Sky,-0.01773520793488692,443.5708953722498,0.2607151743795836,1.1150238097856568,0.12973743259134607,2,0.028767614292469944,-0.02098637071781188,0.005751190489282843,0.003542860697518335,-0.03481050269634616
Columbus,CON,Connecticut Sun,-0.03969698747360616,931.8008774809673,0.0,0.9613654609640488,-0.307036587355085,2,0.024803228892872457,-0.010575020070604537,-0.0019317269517975578,0.00028799415012688463,-0.05228146349420341
Columbus,DAL,Dallas Wings,-0.05832026211348786,1468.5511923175466,0.0,0.7145575119048928,-0.2833311900701983,2,0.01843558380714623,-0.007860132630953821,-0.01427212440475536,-0.003290341282116976,-0.051333247602807934
Columbus,IND,Indiana Fever,-0.04005220519624729,270.4785939411403,0.5492023434314328,0.6261808663902605,0.37478663162354453,2,0.016155466352868717,-0.017204989507296545,-0.018690956680486977,0.004696809373725732,-0.025008534735058218
Columbus,LVA,Las Vegas Aces,-0.029580396292471216,2829.596730281288,0.0,1.470531953502183,-0.5626722169384357,2,0.03793972440035632,-0.01617585148852401,0.023526597675109152,-0.012363978201875252,-0.06250688867753743
Columbus,LAS,Los Angeles Sparks,-0.020190077354941265,3176.2518177406255,0.0,1.0090950081932057,0.4773894558102461,2,0.026034651211384704,-0.011100045090125263,0.00045475040966028727,-0.014675012118270837,-0.020904421767590158
Columbus,MIN,Minnesota Lynx,-0.027590031026663527,1008.8369111705456,0.0,1.1973957703262985,-0.37389243840010067,2,0.0308928108744185,-0.013171353473589283,0.009869788516314926,-0.0002255794078036364,-0.05495569753600403
Columbus,NYL,New York Liberty,0.006206857957512232,766.4398803754707,0.0,1.1973957703262985,0.4306302810717807,2,0.0308928108744185,-0.013171353473589283,0.009869788516314926,0.0013904007974968628,-0.022774788757128774
Columbus,PHO,Phoenix Mercury,0.00029003608906695913,2677.9313200946817,0.0,1.4160278898921137,0.24710760728389686,2,0.03653351955921653,-0.01557630678881325,0.020801394494605687,-0.011352875467297878,-0.030115695708644124
Columbus,SEA,Seattle Storm,-0.016947501542604652,3232.174728802243,0.0,1.3747649264811006,-0.02461093133079203,2,0.03546893510321239,-0.015122414191292106,0.01873824632405503,-0.015047831525348285,-0.040984437253231684
Columbus,WAS,Washington Mystics,-0.05829599793595442,525.149167393089,0.12475138767818506,0.6760659415587986,-0.31434678921336856,2,0.017442501292217003,-0.009966930288289351,-0.01619670292206007,0.002999005550712741,-0.05257387156853474
Columbus,GSV,Golden State Valkyries,-0.038080556552481715,3393.744834707992,0.0,1.0,0.08111022530595619,2,0.025799999999999997,-0.011,-0.0,-0.01612496556471995,-0.03675559098776176
StLouis,ATL,Atlanta Dream,-0.04925076781056194,752.1288136986678,0.0,0.46282264184143673,0.12512851962120294,2,0.012329595178655875,-0.001712443774813316,-0.026858867907928165,0.001985807908675547,-0.03499485921515188
StLouis,CHI,Chicago Sky,-0.009211177156006826,422.1331192500271,0.29644480124995487,1.1150238097856568,0.12973743259134607,2,0.0297042342926899,-0.014041878446633226,0.005751190489282843,0.004185779204999818,-0.03481050269634616
StLouis,CON,Connecticut Sun,-0.03561547302443871,1568.4009379429542,0.0,0.9613654609640488,-0.307036587355085,2,0.025610775880082263,-0.0035570522055669808,-0.0019317269517975578,-0.0034560062529530276,-0.05228146349420341
StLouis,DAL,Dallas Wings,-0.04809059050578137,881.5751731974475,0.0,0.7145575119048928,-0.2833311900701983,2,0.019035812117146344,-0.0026438627940481036,-0.01427212440475536,0.0011228321786836823,-0.051333247602807934
StLouis,IND,Indiana Fever,-0.03198754396950303,370.6129685223567,0.38231171912940554,0.6261808663902605,0.37478663162354453,2,0.01668145828063654,-0.009498757711111996,-0.018690956680486977,0.004529246876517621,-0.025008534735058218
StLouis,LVA,Las Vegas Aces,-0.013000470481473084,2213.1273738577333,0.0,1.470531953502183,-0.5626722169384357,2,0.03917497124129816,-0.005440968227958078,0.023526597675109152,-0.00775418249238489,-0.06250688867753743
StLouis,LAS,Los Angeles Sparks,-0.007317209614423288,2552.4266616668338,0.0,1.0090950081932057,0.4773894558102461,2,0.026882291018267,-0.0037336515303148616,0.00045475040966028727,-0.010016177744445558,-0.020904421767590158
StLouis,MIN,Minnesota Lynx,-0.015619981134507618,750.3496629155693,0.0,1.1973957703262985,-0.37389243840010067,2,0.03189862332149259,-0.004430364350207305,0.009869788516314926,0.0019976689138962037,-0.05495569753600403
StLouis,NYL,New York Liberty,0.01220871900554863,1403.1809587384212,0.0,1.1973957703262985,0.4306302810717807,2,0.03189862332149259,-0.004430364350207305,0.009869788516314926,-0.0023545397249228085,-0.022774788757128774
StLouis,PHO,Phoenix Mercury,0.016544351568919532,2043.7540516750682,0.0,1.4160278898921137,0.24710760728389686,2,0.03772298298672591,-0.0052393031926008206,0.020801394494605687,-0.006625027011167121,-0.030115695708644124
StLouis,SEA,Seattle Storm,-0.002165702811498249,2768.492894369706,0.0,1.3747649264811006,-0.02461093133079203,2,0.03662373764145652,-0.005086630227980072,0.01873824632405503,-0.01145661929579804,-0.040984437253231684
