site,seed,policy,seasons,step,marker,year,phase,i_expansion,mu_size,compete_local,n_star_fa,bidding_intensity,travel_fatigue,leverage,cash_flow,cash_flow_cum,cash,franchise_value,debt,owner_share,terminal_value,win_pct,elo,syn,a_roster,a_salary,a_ticket,a_marketing,a_debt,a_equity
Columbus,0,baseline,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,3,2,2,1,2,0
Columbus,0,baseline,1,4,season_end,2026,offseason,1,0.6038457972183027,1,0,6.591126133316471,0.0784,0.18641103100690656,17.671588824230675,75.07089157883459,80.07089157883459,359.4207898432665,67.0,1.0,292.4207898432665,0.29904814030471194,1469.190844564497,-2.08613092937585,3,2,2,1,2,0
Columbus,0,baseline,1,5,offseason_decision,2026,offseason,1,0.6038457972183027,1,0,6.591126133316471,0.0784,0.18641103100690656,17.671588824230675,75.07089157883459,80.07089157883459,359.4207898432665,67.0,1.0,292.4207898432665,0.29904814030471194,1469.190844564497,-2.08613092937585,3,2,2,1,2,0
Columbus,0,baseline,2,8,season_end,2027,offseason,0,0.6038457972183027,1,0,6.7295181690244945,0.0784,0.1541195531663493,16.152425350383172,128.07208710168243,133.07208710168243,434.72744777350476,67.0,1.0,367.72744777350476,0.19975511163040482,1449.0906765375682,-1.942932688541538,3,2,2,1,2,0
Columbus,0,baseline,2,9,offseason_decision,2027,offseason,0,0.6038457972183027,1,0,6.7295181690244945,0.0784,0.1541195531663493,16.152425350383172,128.07208710168243,133.07208710168243,434.72744777350476,67.0,1.0,367.72744777350476,0.19975511163040482,1449.0906765375682,-1.942932688541538,3,2,2,1,2,0
Columbus,0,baseline,3,12,season_end,2028,offseason,0,0.6038457972183027,1,1,7.559671991574587,0.0784,0.14072691965716633,11.587385635645045,182.25945834948882,187.25945834948882,476.09938569836464,67.0,1.0,409.09938569836464,0.1840453105782212,1431.4577312310664,-2.040124346439193,3,2,2,1,2,0
Columbus,0,aggressive,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,6,5,6,3,4,0
Columbus,0,aggressive,1,4,season_end,2026,offseason,1,0.6038457972183027,1,0,6.591126133316471,0.0784,0.4947061298977672,9.700198924469618,55.63428455065066,173.2214525675677,363.01787498373903,179.58716801691702,1.0,183.43070696682202,0.24406094708090872,1464.326477057427,-3.210853870699367,6,5,6,3,4,0
Columbus,0,aggressive,1,5,offseason_decision,2026,offseason,1,0.6038457972183027,1,0,6.591126133316471,0.0784,0.4947061298977672,9.700198924469618,55.63428455065066,173.2214525675677,363.01787498373903,179.58716801691702,1.0,183.43070696682202,0.24406094708090872,1464.326477057427,-3.210853870699367,6,5,6,3,2,0
Columbus,0,aggressive,2,8,season_end,2027,offseason,0,0.6038457972183027,1,0,6.7295181690244945,0.0784,0.4159884319630566,5.9668221400880554,61.06885977745138,178.65602779436844,431.71192806838894,179.58716801691702,1.0,252.12476005147192,0.11767528231912616,1438.2403170051416,-3.0676556298650546,6,5,6,3,2,0
Columbus,0,aggressive,2,9,offseason_decision,2027,offseason,0,0.6038457972183027,1,0,6.7295181690244945,0.0784,0.4159884319630566,5.9668221400880554,61.06885977745138,178.65602779436844,431.71192806838894,179.58716801691702,1.0,252.12476005147192,0.11767528231912616,1438.2403170051416,-3.0676556298650546,6,5,6,3,2,0
Columbus,0,aggressive,3,12,season_end,2028,offseason,0,0.6038457972183027,1,1,7.559671991574587,0.0784,0.38886504307306424,-0.9838700063956836,69.96225924639609,187.54942726331313,461.8238929313433,179.58716801691702,1.0,282.2367249144263,0.08817800525342162,1415.1224084075307,-3.164847287762709,6,5,6,3,2,0
Columbus,0,defensive,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,3,1,2,3,1,0
Columbus,0,defensive,1,4,season_end,2026,offseason,1,0.6038457972183027,1,0,6.591126133316471,0.0784,0.02854791725590681,19.025952522345396,75.40860277016989,23.93207516324416,368.62487370762096,10.523472393074261,1.0,358.1014013145467,0.2926414696040174,1468.6104561231,-2.159274173842885,3,1,2,3,1,0
Columbus,0,defensive,1,5,offseason_decision,2026,offseason,1,0.6038457972183027,1,0,6.591126133316471,0.0784,0.02854791725590681,19.025952522345396,75.40860277016989,23.93207516324416,368.62487370762096,10.523472393074261,1.0,358.1014013145467,0.2926414696040174,1468.6104561231,-2.159274173842885,3,1,2,3,1,0
Columbus,0,defensive,2,8,season_end,2027,offseason,0,0.6038457972183027,1,0,6.7295181690244945,0.0784,0.0,19.024642409796513,143.52840582594274,81.52840582594276,455.76978571213806,0.0,1.0,455.76978571213806,0.19064533138127193,1447.8827690444186,-2.0160759330085734,3,1,2,3,1,0
Columbus,0,defensive,2,9,offseason_decision,2027,offseason,0,0.6038457972183027,1,0,6.7295181690244945,0.0784,0.0,19.024642409796513,143.52840582594274,81.52840582594276,455.76978571213806,0.0,1.0,455.76978571213806,0.19064533138127193,1447.8827690444186,-2.0160759330085734,3,1,2,3,1,0
Columbus,0,defensive,3,12,season_end,2028,offseason,0,0.6038457972183027,1,1,7.559671991574587,0.0784,0.0,15.976056453087827,212.36795955825932,150.36795955825932,510.22291913485554,0.0,1.0,510.22291913485554,0.17437056410226343,1429.716301286297,-2.1132675909062275,3,1,2,3,1,0
Columbus,0,ppo,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,2,5,0,0,4,0
Columbus,0,ppo,1,4,season_end,2026,offseason,1,0.6038457972183027,1,0,6.591126133316471,0.0784,0.5067151640770209,11.586665614443572,62.6799414244051,178.77042594875562,351.4607360305497,178.09048452435053,1.0,173.37025150619917,0.2666090291037456,1466.2961620522517,-2.6271654087747347,2,5,0,0,4,0
Columbus,0,ppo,1,5,offseason_decision,2026,offseason,1,0.6038457972183027,1,0,6.591126133316471,0.0784,0.5067151640770209,11.586665614443572,62.6799414244051,178.77042594875562,351.4607360305497,178.09048452435053,1.0,173.37025150619917,0.2666090291037456,1466.2961620522517,-2.6271654087747347,4,5,0,0,1,0
Columbus,0,ppo,2,8,season_end,2027,offseason,0,0.6038457972183027,1,0,6.7295181690244945,0.0784,0.2848925086363373,10.720604222544834,81.38930718835466,136.26417253831383,410.24197480443,116.87486534995915,1.0,293.3671094544709,0.14384381060337775,1442.6062447203244,-3.148314939853563,6,5,0,0,1,0
Columbus,0,ppo,2,9,offseason_decision,2027,offseason,0,0.6038457972183027,1,0,6.7295181690244945,0.0784,0.2848925086363373,10.720604222544834,81.38930718835466,136.26417253831383,410.24197480443,116.87486534995915,1.0,293.3671094544709,0.14384381060337775,1442.6062447203244,-3.148314939853563,6,1,3,0,3,0
Columbus,0,ppo,3,12,season_end,2028,offseason,0,0.6038457972183027,1,1,7.559671991574587,0.0784,0.4201032892913714,1.7147012490146594,110.59148136608351,228.41612514260808,428.0486450840508,179.82464377652457,1.0,248.22400130752624,0.1045530675028761,1420.2723276407955,-3.18084855796112,5,5,3,0,3,0
Columbus,1,baseline,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,3,2,2,1,2,0
Columbus,1,baseline,1,4,season_end,2026,offseason,1,0.6038457972183027,1,0,8.258739799935874,0.0784,0.183787985930161,18.04449649608705,76.08385231356586,81.08385231356586,364.5504882210301,67.0,1.0,297.5504882210301,0.3356710778288208,1471.813290975986,-2.0257300870442636,3,2,2,1,2,0
Columbus,1,baseline,1,5,offseason_decision,2026,offseason,1,0.6038457972183027,1,0,8.258739799935874,0.0784,0.183787985930161,18.04449649608705,76.08385231356586,81.08385231356586,364.5504882210301,67.0,1.0,297.5504882210301,0.3356710778288208,1471.813290975986,-2.0257300870442636,3,2,2,1,2,0
