episode,step,year,phase,player,a_roster,a_salary,a_ticket,a_marketing,a_debt,a_equity,site,opp,iter
0,5,2026,offseason,IND,3,2,2,1,2,0,Columbus,LAS,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Columbus,LAS,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Columbus,LAS,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Columbus,LAS,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Columbus,NYL,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Columbus,NYL,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Columbus,NYL,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Columbus,NYL,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Columbus,PHO,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Columbus,PHO,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Columbus,PHO,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Columbus,PHO,1
0,5,2026,offseason,IND,3,2,2,1,2,0,StLouis,LAS,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,StLouis,LAS,0
0,5,2026,offseason,IND,3,5,3,0,1,0,StLouis,LAS,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,StLouis,LAS,1
0,5,2026,offseason,IND,3,2,2,1,2,0,StLouis,NYL,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,StLouis,NYL,0
0,5,2026,offseason,IND,3,5,3,0,1,0,StLouis,NYL,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,StLouis,NYL,1
0,5,2026,offseason,IND,3,2,2,1,2,0,StLouis,PHO,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,StLouis,PHO,0
0,5,2026,offseason,IND,3,5,3,0,1,0,StLouis,PHO,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,StLouis,PHO,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Nashville,LAS,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Nashville,LAS,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Nashville,LAS,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Nashville,LAS,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Nashville,NYL,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Nashville,NYL,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Nashville,NYL,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Nashville,NYL,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Nashville,PHO,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Nashville,PHO,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Nashville,PHO,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Nashville,PHO,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Denver,LAS,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Denver,LAS,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Denver,LAS,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Denver,LAS,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Denver,NYL,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Denver,NYL,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Denver,NYL,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Denver,NYL,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Denver,PHO,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Denver,PHO,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Denver,PHO,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Denver,PHO,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Portland,LAS,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Portland,LAS,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Portland,LAS,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Portland,LAS,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Portland,NYL,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Portland,NYL,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Portland,NYL,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Portland,NYL,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Portland,PHO,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Portland,PHO,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Portland,PHO,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Portland,PHO,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Toronto,LAS,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Toronto,LAS,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Toronto,LAS,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Toronto,LAS,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Toronto,NYL,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Toronto,NYL,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Toronto,NYL,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Toronto,NYL,1
0,5,2026,offseason,IND,3,2,2,1,2,0,Toronto,PHO,0
0,5,2026,offseason,OPP,3,2,2,1,2,0,Toronto,PHO,0
0,5,2026,offseason,IND,3,5,3,0,1,0,Toronto,PHO,1
0,5,2026,offseason,OPP,1,3,0,1,1,0,Toronto,PHO,1
