site,opp,iter,player,action_dim,js_divergence,baseline_mean,current_mean
Columbus,LAS,1,IND,a_debt,0.6931471805330074,2.0,1.0
Columbus,LAS,1,IND,a_salary,0.6931471805330074,2.0,5.0
Columbus,LAS,1,IND,a_roster,0.0,3.0,3.0
Columbus,LAS,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Columbus,LAS,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Columbus,LAS,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Columbus,NYL,1,IND,a_debt,0.6931471805330074,2.0,1.0
Columbus,NYL,1,IND,a_salary,0.6931471805330074,2.0,5.0
Columbus,NYL,1,IND,a_roster,0.0,3.0,3.0
Columbus,NYL,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Columbus,NYL,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Columbus,NYL,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Columbus,PHO,1,IND,a_debt,0.6931471805330074,2.0,1.0
Columbus,PHO,1,IND,a_salary,0.6931471805330074,2.0,5.0
Columbus,PHO,1,IND,a_roster,0.0,3.0,3.0
Columbus,PHO,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Columbus,PHO,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Columbus,PHO,1,OPP,a_roster,0.6931471805330074,3.0,1.0
StLouis,LAS,1,IND,a_debt,0.6931471805330074,2.0,1.0
StLouis,LAS,1,IND,a_salary,0.6931471805330074,2.0,5.0
StLouis,LAS,1,IND,a_roster,0.0,3.0,3.0
StLouis,LAS,1,OPP,a_debt,0.6931471805330074,2.0,1.0
StLouis,LAS,1,OPP,a_salary,0.6931471805330074,2.0,3.0
StLouis,LAS,1,OPP,a_roster,0.6931471805330074,3.0,1.0
StLouis,NYL,1,IND,a_debt,0.6931471805330074,2.0,1.0
StLouis,NYL,1,IND,a_salary,0.6931471805330074,2.0,5.0
StLouis,NYL,1,IND,a_roster,0.0,3.0,3.0
StLouis,NYL,1,OPP,a_debt,0.6931471805330074,2.0,1.0
StLouis,NYL,1,OPP,a_salary,0.6931471805330074,2.0,3.0
StLouis,NYL,1,OPP,a_roster,0.6931471805330074,3.0,1.0
StLouis,PHO,1,IND,a_debt,0.6931471805330074,2.0,1.0
StLouis,PHO,1,IND,a_salary,0.6931471805330074,2.0,5.0
StLouis,PHO,1,IND,a_roster,0.0,3.0,3.0
StLouis,PHO,1,OPP,a_debt,0.6931471805330074,2.0,1.0
StLouis,PHO,1,OPP,a_salary,0.6931471805330074,2.0,3.0
StLouis,PHO,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Nashville,LAS,1,IND,a_debt,0.6931471805330074,2.0,1.0
Nashville,LAS,1,IND,a_salary,0.6931471805330074,2.0,5.0
Nashville,LAS,1,IND,a_roster,0.0,3.0,3.0
Nashville,LAS,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Nashville,LAS,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Nashville,LAS,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Nashville,NYL,1,IND,a_debt,0.6931471805330074,2.0,1.0
Nashville,NYL,1,IND,a_salary,0.6931471805330074,2.0,5.0
Nashville,NYL,1,IND,a_roster,0.0,3.0,3.0
Nashville,NYL,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Nashville,NYL,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Nashville,NYL,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Nashville,PHO,1,IND,a_debt,0.6931471805330074,2.0,1.0
Nashville,PHO,1,IND,a_salary,0.6931471805330074,2.0,5.0
Nashville,PHO,1,IND,a_roster,0.0,3.0,3.0
Nashville,PHO,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Nashville,PHO,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Nashville,PHO,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Denver,LAS,1,IND,a_debt,0.6931471805330074,2.0,1.0
Denver,LAS,1,IND,a_salary,0.6931471805330074,2.0,5.0
Denver,LAS,1,IND,a_roster,0.0,3.0,3.0
Denver,LAS,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Denver,LAS,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Denver,LAS,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Denver,NYL,1,IND,a_debt,0.6931471805330074,2.0,1.0
Denver,NYL,1,IND,a_salary,0.6931471805330074,2.0,5.0
Denver,NYL,1,IND,a_roster,0.0,3.0,3.0
Denver,NYL,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Denver,NYL,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Denver,NYL,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Denver,PHO,1,IND,a_debt,0.6931471805330074,2.0,1.0
Denver,PHO,1,IND,a_salary,0.6931471805330074,2.0,5.0
Denver,PHO,1,IND,a_roster,0.0,3.0,3.0
Denver,PHO,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Denver,PHO,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Denver,PHO,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Portland,LAS,1,IND,a_debt,0.6931471805330074,2.0,1.0
Portland,LAS,1,IND,a_salary,0.6931471805330074,2.0,5.0
Portland,LAS,1,IND,a_roster,0.0,3.0,3.0
Portland,LAS,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Portland,LAS,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Portland,LAS,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Portland,NYL,1,IND,a_debt,0.6931471805330074,2.0,1.0
Portland,NYL,1,IND,a_salary,0.6931471805330074,2.0,5.0
Portland,NYL,1,IND,a_roster,0.0,3.0,3.0
Portland,NYL,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Portland,NYL,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Portland,NYL,1,OPP,a_roster,0.6931471805330074,3.0,1.0
Portland,PHO,1,IND,a_debt,0.6931471805330074,2.0,1.0
Portland,PHO,1,IND,a_salary,0.6931471805330074,2.0,5.0
Portland,PHO,1,IND,a_roster,0.0,3.0,3.0
Portland,PHO,1,OPP,a_debt,0.6931471805330074,2.0,1.0
Portland,PHO,1,OPP,a_salary,0.6931471805330074,2.0,3.0
Portland,PHO,1,OPP,a_roster,0.6931471805330074,3.0,1.0
