Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,DWS_40,skill_score,skill_z
Kelsey Mitchell,IND,G,44,1381,19.9,0.5697540886768427,0.536,0.408,0.275,1.6,-1.3382345894414396,0.47653638926825415,1.4,0.5,9.1,1.6237878019586165,114,109.0,4.5,1.0,5.6,0.8668394968955329,-0.45534978363029166,0.7341731238209748,0.9930168198419389
Aliyah Boston,IND,C-F,44,1327,22.8,0.6242171683838491,0.544,0.058,0.292,9.6,1.351880581195966,0.6582283854658884,2.0,2.8,12.5,0.5637447884078238,118,101.0,4.6,2.5,7.1,1.4010745745051059,0.9237999088531955,-0.9015390496878359,-1.2092767127054491
Lexie Hull,IND,G,44,1189,10.5,-0.07472568785606544,0.487,0.502,0.12,6.2,-0.04451507989825995,-0.5815522944709101,2.2,0.5,11.5,-0.9897665245545444,107,105.0,1.1,1.6,2.7,0.17431254443867902,0.28373613817003274,-0.20047528295211453,-0.26537703133704266
Natasha Howard,IND,F,44,1060,19.3,0.7603748676513651,0.561,0.091,0.365,9.7,1.3724158115061755,-0.4960501786131998,2.5,2.1,16.8,0.47236176999827273,109,100.0,2.1,2.1,4.2,0.8272665281837126,1.0393596673345307,-1.037658320672608,-1.3925452577464597
Sophie Cunningham,IND,G,30,756,12.8,1.3050056647214292,0.614,0.674,0.274,2.4,-0.31147307393097934,-0.8594341710084683,2.0,0.4,14.8,-0.9532133171907241,118,105.0,1.5,1.0,2.5,0.5601489893789262,0.25648538755475914,-0.10926237380396672,-0.14256960643973304
Aari McDonald,IND,G,20,525,14.0,0.3972876696046567,0.506,0.506,0.331,2.0,-0.9275299832372554,1.299494254398715,2.4,0.5,20.7,0.033723281632427736,106,106.0,0.7,0.6,1.4,0.30292469275209466,0.0425749323366926,0.40837926535949454,0.554373812194535
Damiris Dantas,IND,C-F,38,439,8.4,-0.5285846854144517,0.417,0.525,0.155,7.6,0.551006599097807,-0.6670544103286202,0.7,0.6,13.0,0.7099576178631056,92,107.0,-0.3,0.4,0.1,-0.6270400719756803,-0.2329318739819529,-0.10404399573433538,-0.13554367580275334
Caitlin Clark,IND,G,13,404,16.5,-0.18365184727007827,0.441,0.531,0.255,0.3,-0.02397984958805046,3.426359386359257,2.7,1.6,23.2,2.318298741871205,94,102.0,-0.3,0.7,0.5,-0.28077659574725344,0.7439196659709993,-0.004464820208243014,-0.0014720599101586916
Sydney Colson,IND,G,30,404,5.8,-0.5648934052191226,0.428,0.618,0.092,2.1,-1.2560936682006028,0.5941017985726055,1.9,1.4,30.7,-1.1177027503279162,86,107.0,-0.4,0.4,0.0,-0.7655454624670511,-0.13906830802902692,0.5567025722282845,0.7540736522602042
Brianna Turner,IND,F-C,27,233,7.5,0.043277651509115105,0.406,0.031,0.25,9.2,-0.6400367588943268,2.1545154129758166,0.4,3.1,20.2,0.38097875158872163,101,106.0,0.1,0.3,0.3,-0.2412036270354332,-0.6938251503327084,0.7619748214490569,1.0304485268817065
Makayla Timpson,IND,F-C,31,219,17.8,-0.8099772639006514,0.561,0.0,0.474,9.8,0.6331475203386439,-0.5494890010242687,3.0,3.3,10.4,-1.867043501286235,116,99.0,0.5,0.5,1.0,-0.17195093178974782,0.21463216796526122,-0.4167463784211023,-0.5565605552736426
