Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,DWS_40,skill_score,skill_z
Monique Akoa Makani,PHO,G,41,881,12.2,0.40636484955582447,0.523,0.464,0.155,3.2,-0.8248538316862094,0.572726269608178,1.9,0.3,16.3,-0.27697898096004586,107,106.0,1.2,1.0,2.2,0.2534584818623195,0.033319809482896486,0.31113365788288716,0.4234440704692737
Julie Allemand,LAS,G,34,963,11.5,0.32467022999531486,0.528,0.635,0.119,1.6,-0.4141492254820254,1.1284900226832943,2.4,0.1,24.1,-1.5746178423756716,110,111.0,1.2,0.4,1.5,-0.0928049943661074,-0.8224747150432392,0.6168620187610436,0.8350712520619594
Lindsay Allen,CON,G,31,450,6.6,-0.16549748736774278,0.423,0.277,0.354,2.3,-1.173952746959766,0.6796039144303158,1.2,1.3,29.2,-1.4832348239661206,93,116.0,-0.2,-0.2,-0.3,-1.0128765169159273,-1.8448702607638932,1.3722921315411456,1.852168806638667
Rebecca Allen,CHI,F-G,44,821,7.9,-0.6102793049749613,0.429,0.55,0.129,2.3,-0.3730787648616071,-0.389172533791062,1.5,2.6,13.3,-0.5145748288248788,90,112.0,-0.6,0.2,-0.5,-0.9436238216702421,-1.0267167950871128,0.6141499716235629,0.8314198004388873
Laeticia Amihere,GSV,F,29,385,18.3,0.3519017698488181,0.469,0.184,0.553,10.8,1.865261338951196,-0.19679277311121393,2.4,3.6,18.4,0.3992553552706321,105,96.0,0.5,1.0,1.5,0.8173732860057575,1.7721610729234116,-1.5476652011632597,-2.0792093742394346
Yvonne Anderson,MIN,G,1,12,1.2,-4.640547203293432,0.0,0.333,0.0,0.0,-1.0096709044780923,0.6047895630548195,8.7,0.0,0.0,-1.3370219945108386,44,88.0,-0.1,0.0,0.0,-1.0623427278057027,-1.316385606695729,0.9785610440705232,1.3220563323643346
Ariel Atkins,CHI,G,34,970,16.0,0.3609789497999858,0.503,0.326,0.255,2.8,-0.6195015285841174,0.8933592040745914,2.8,2.3,17.1,0.7099576178631056,103,110.0,1.1,0.5,1.6,-0.08291175218815233,-0.7034523738847139,0.6576342037522909,0.8899661906509616
Shakira Austin,WAS,F-C,38,874,18.4,-0.04749414800256224,0.467,0.036,0.355,8.0,1.454556732747012,0.1238401613551994,2.4,4.7,16.2,2.0258730829606413,93,100.0,-0.8,1.8,1.1,-0.2412036270354332,1.132542138128143,-0.9952594693637004,-1.3354602048029796
Marième Badiane,MIN,C,3,11,-18.2,-4.640547203293432,0.0,0.333,0.0,11.1,-0.9275299832372554,-1.6182654492456465,9.5,0.0,40.0,0.38097875158872163,15,89.0,-0.1,0.0,-0.1,-4.356792373064735,-1.316385606695729,0.9377911195387765,1.2671644372174606
Rachel Banham,CHI,G,44,1081,10.6,0.2974386901418117,0.509,0.713,0.175,0.7,-1.2150232075801843,0.4017220378927574,1.3,1.0,16.3,-0.13076615150476398,103,116.0,0.9,-0.3,0.5,-0.5281076501961297,-1.6463829623812152,1.2816181627200538,1.7300870013313603
Sarah Ashlee Barker,LAS,G,34,481,4.1,-0.483198785658613,0.423,0.587,0.231,2.5,-0.352543534551398,-0.6136155879175513,1.2,0.8,24.4,-0.861830298781173,81,113.0,-0.8,0.0,-0.8,-1.3591399931443544,-1.316385606695729,0.7413538907058153,1.0026848755826328
Kierstan Bell,LVA,F,35,427,10.3,-0.5104303255121162,0.435,0.669,0.097,5.4,-0.29093784362077024,-0.6884299392930479,1.7,2.3,9.6,0.033723281632427736,95,106.0,-0.1,0.5,0.3,-0.41928198623862417,0.07599199477191619,0.015904515735674182,0.025952848663667642
Monique Billings,GSV,F,26,474,16.9,0.3065158700929794,0.51,0.238,0.351,9.3,0.9001055143713637,-0.9983751092772473,1.8,4.7,10.8,0.07027648899624804,108,99.0,0.7,1.0,1.7,0.7085476220482518,1.1922440803366952,-1.0007136130939764,-1.3428035660967972
Aliyah Boston,IND,C-F,44,1327,22.8,0.6242171683838491,0.544,0.058,0.292,9.6,1.351880581195966,0.6582283854658884,2.0,2.8,12.5,0.5637447884078238,118,101.0,4.6,2.5,7.1,1.4010745745051059,0.9237999088531955,-0.9015390496878359,-1.2092767127054491
Crystal Bradford,LVA,F,4,24,7.0,-1.6178462795545787,0.333,0.333,0.0,9.7,0.4688656778569701,-0.9449362868661784,4.3,0.0,14.3,-1.0080431282364546,80,101.0,0.0,0.0,0.0,-0.6567197985095454,-1.316385606695729,0.3731142784654796,0.5068936663474458
Cameron Brink,LAS,F,19,244,15.3,0.13404945102079244,0.488,0.415,0.256,13.0,2.0911488723634974,-0.9769995803128197,2.1,9.8,21.5,0.45408516631636286,94,102.0,-0.1,0.4,0.3,-0.1818441739677029,0.6329430353589744,-1.1004282501945886,-1.4770575650237086
Jaelyn Brown,CON,G-F,10,131,6.3,-0.21088338712358146,0.486,0.486,0.054,3.5,-0.9069947529270463,-1.4793245109768673,2.0,1.5,11.7,-0.7156174693258911,90,114.0,-0.1,0.0,-0.1,-0.9930900325600173,-1.316385606695729,0.8532341941728013,1.1533185095038365
Kalani Brown,PHO,C,29,370,18.8,1.3867002842819387,0.63,0.083,0.365,10.9,1.6804442661593135,-0.8273708775618268,1.0,4.6,17.1,-0.459745017779148,119,100.0,1.0,0.7,1.7,1.124063793522364,0.9332450153511855,-1.142695562862345,-1.5339655166999984
Lexie Brown,SEA,G,24,227,8.5,-0.2199605670747492,0.458,0.771,0.208,1.0,-1.1123470560291384,-0.06853959932464868,2.0,0.4,10.3,-1.2821921834651078,103,106.0,0.1,0.3,0.4,-0.043338783476332084,0.25509959813251193,0.2306883130060605,0.31513390098160665
Paige Bueckers,DAL,G,36,1199,22.1,0.5062138290186685,0.513,0.217,0.28,2.3,-0.6400367588943268,1.6094394243829144,2.4,1.4,10.6,1.0754896915013101,115,112.0,4.0,0.4,4.4,0.728334106404162,-0.9196915377538211,0.8055729973556034,1.0891483289525588
Kennedy Burke,NYL,G-F,36,779,13.9,0.8239151273095393,0.573,0.509,0.248,3.3,-0.7427129104453727,-0.6029278234353376,1.8,1.9,12.3,-0.4414684140972382,110,106.0,1.2,0.9,2.1,0.35239090364187,0.057403128205467634,0.17048982317447986,0.23408373398259238
Rae Burrell,LAS,G-F,28,515,13.0,0.17943535077663111,0.494,0.376,0.264,4.3,-0.4757549164126531,-0.4639868851665584,1.6,1.1,11.2,0.10682969636006835,104,113.0,0.5,0.0,0.6,-0.28077659574725344,-1.316385606695729,0.7820369583984706,1.0574598282392043
