Player,omega,se,ca,retention,fd,delta_fv,owner_share_after,owner_terminal_delta,owner_cash_delta,net,win_delta,cf_delta,market_value,skill_z
Kelsey Mitchell,0.01,0.47223395229062887,0.11376464566803247,0.10017594899136846,5.3496899019449184,7.341329690050432,0.99,4.5879163931498965,5.3496899019449184,9.937606295094815,0.027532272356881726,5.3496899019449184,7.405827456882475,0.9930168198419389
Aliyah Boston,0.0,0.022277083903996648,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,4.760993011431092,-1.2092767127054491
Lexie Hull,0.0,0.09898963132628384,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,5.894565059588587,-0.26537703133704266
Natasha Howard,0.0,0.016510419685107965,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,4.540897482143697,-1.3925452577464597
Sophie Cunningham,0.0,0.11880215599085389,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,6.04205008042043,-0.14256960643973304
Aari McDonald,0.005,0.3010610672997688,0.015186547944915729,0.04515916009496532,2.4845796803712985,2.8257416386428567,0.995,1.4716129304496235,2.4845796803712985,3.956192610820922,0.005764961557419793,2.4845796803712985,6.8790411231187285,0.554373812194535
Damiris Dantas,0.0,0.12003352524817712,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,6.050487840003978,-0.13554367580275334
Caitlin Clark,0.0,0.14570904571056625,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,6.211500540004916,-0.0014720599101586916
Sydney Colson,0.005,0.3753301615476173,0.025753069169334005,0.056299524232142586,2.5712012460788856,3.6142168339488223,0.995,2.25614574977908,2.5712012460788856,4.827346995857965,0.00784165038304108,2.5712012460788856,7.118869741761529,0.7540736522602042
Brianna Turner,0.01,0.48780432161373916,0.12194540816213499,0.10347892311155356,5.382162567619825,7.64274460471682,0.99,4.886317158669669,5.382162567619825,10.268479726289495,0.028570099644808153,5.382162567619825,7.450780895953019,1.0304485268817065
Makayla Timpson,0.0,0.06333975004702153,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,5.544869525058897,-0.5565605552736426
