pid,player,team,pos,cluster,skill_score,salary_est,star_flag
50,Allisha Gray,ATL,SG,1,1.4577806760351546,0.3167393272503172,1
30,Sonia Citron,WAS,SG,1,0.5779372569875548,0.1836630101193677,0
48,Rebekah Gardner,NYL,SG,1,0.432011478841389,0.16159173617476008,0
37,Kahleah Copper,PHO,SG,1,0.37350936378883814,0.15274329127306177,0
23,Maya Caldwell,ATL,SG,1,0.3635245107155849,0.15123308224573223,0
89,Kayla McBride,MIN,SG,1,0.25174917299088284,0.13432706241487105,0
95,Kelsey Mitchell,IND,SG,1,0.10956982992266584,0.11282243677580321,0
144,Sami Whitcomb,PHO,SG,1,-0.345621434744369,0.04397475799491418,0
149,Kiana Williams,PHO,SG,1,-0.5570432983721315,0.0119972011212151,0
73,Marine Johannes,NYL,SG,1,-0.5801169386937358,0.008507313022572441,0
